Source,Target,Type,Id,Label,timeset,Weight
"中国证券金融股份有限公司",中央汇金资产管理有限责任公司,Undirected,0,,,317
"中央汇金资产管理有限责任公司",香港中央结算有限公司,Undirected,1,,,257
"中央汇金资产管理有限责任公司",中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,Undirected,2,,,132
"中国证券金融股份有限公司",香港中央结算有限公司,Undirected,3,,,172
"中国证券金融股份有限公司",中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,Undirected,6,,,69
"中央汇金资产管理有限责任公司",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,7,,,60
"中央汇金资产管理有限责任公司",中欧基金-农业银行-中欧中证金融资产管理计划,Undirected,8,,,59
"中央汇金资产管理有限责任公司",大成基金-农业银行-大成中证金融资产管理计划,Undirected,9,,,56
"中央汇金资产管理有限责任公司",博时基金-农业银行-博时中证金融资产管理计划,Undirected,11,,,53
"香港中央结算有限公司",中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,Undirected,12,,,73
"中央汇金资产管理有限责任公司",工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,Undirected,13,,,48
"中央汇金资产管理有限责任公司",广发基金-农业银行-广发中证金融资产管理计划,Undirected,14,,,48
"中央汇金资产管理有限责任公司",华夏基金-农业银行-华夏中证金融资产管理计划,Undirected,15,,,47
"中央汇金资产管理有限责任公司",南方基金-农业银行-南方中证金融资产管理计划,Undirected,16,,,46
"中央汇金资产管理有限责任公司",易方达基金-农业银行-易方达中证金融资产管理计划,Undirected,17,,,44
"中国证券金融股份有限公司",中欧基金-农业银行-中欧中证金融资产管理计划,Undirected,18,,,41
"中国证券金融股份有限公司",博时基金-农业银行-博时中证金融资产管理计划,Undirected,19,,,41
"中国证券金融股份有限公司",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,20,,,40
"中国证券金融股份有限公司",大成基金-农业银行-大成中证金融资产管理计划,Undirected,21,,,40
"中央汇金资产管理有限责任公司",银华基金-农业银行-银华中证金融资产管理计划,Undirected,22,,,38
"中国证券金融股份有限公司",易方达基金-农业银行-易方达中证金融资产管理计划,Undirected,23,,,35
"中国证券金融股份有限公司",广发基金-农业银行-广发中证金融资产管理计划,Undirected,24,,,35
"中国证券金融股份有限公司",工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,Undirected,25,,,34
"中国证券金融股份有限公司",华夏基金-农业银行-华夏中证金融资产管理计划,Undirected,26,,,33
"中国证券金融股份有限公司",南方基金-农业银行-南方中证金融资产管理计划,Undirected,27,,,32
"中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金",中国建设银行股份有限公司-华安创业板50交易型开放式指数证券投资基金,Undirected,28,,,33
"博时基金-农业银行-博时中证金融资产管理计划",南方基金-农业银行-南方中证金融资产管理计划,Undirected,29,,,39
"大成基金-农业银行-大成中证金融资产管理计划",中欧基金-农业银行-中欧中证金融资产管理计划,Undirected,30,,,46
"中国证券金融股份有限公司",银华基金-农业银行-银华中证金融资产管理计划,Undirected,32,,,25
"博时基金-农业银行-博时中证金融资产管理计划",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,33,,,40
"中欧基金-农业银行-中欧中证金融资产管理计划",广发基金-农业银行-广发中证金融资产管理计划,Undirected,34,,,39
"大成基金-农业银行-大成中证金融资产管理计划",广发基金-农业银行-广发中证金融资产管理计划,Undirected,35,,,41
"博时基金-农业银行-博时中证金融资产管理计划",中欧基金-农业银行-中欧中证金融资产管理计划,Undirected,36,,,47
"大成基金-农业银行-大成中证金融资产管理计划",南方基金-农业银行-南方中证金融资产管理计划,Undirected,37,,,37
"大成基金-农业银行-大成中证金融资产管理计划",华夏基金-农业银行-华夏中证金融资产管理计划,Undirected,38,,,35
"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",南方基金-农业银行-南方中证金融资产管理计划,Undirected,40,,,37
"大成基金-农业银行-大成中证金融资产管理计划",易方达基金-农业银行-易方达中证金融资产管理计划,Undirected,41,,,42
"大成基金-农业银行-大成中证金融资产管理计划",博时基金-农业银行-博时中证金融资产管理计划,Undirected,42,,,44
"嘉实基金-农业银行-嘉实中证金融资产管理计划",广发基金-农业银行-广发中证金融资产管理计划,Undirected,43,,,42
"中欧基金-农业银行-中欧中证金融资产管理计划",银华基金-农业银行-银华中证金融资产管理计划,Undirected,44,,,34
"中欧基金-农业银行-中欧中证金融资产管理计划",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,45,,,41
"易方达基金-农业银行-易方达中证金融资产管理计划",博时基金-农业银行-博时中证金融资产管理计划,Undirected,46,,,43
"易方达基金-农业银行-易方达中证金融资产管理计划",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,47,,,39
"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",中欧基金-农业银行-中欧中证金融资产管理计划,Undirected,48,,,40
"博时基金-农业银行-博时中证金融资产管理计划",广发基金-农业银行-广发中证金融资产管理计划,Undirected,49,,,36
"博时基金-农业银行-博时中证金融资产管理计划",银华基金-农业银行-银华中证金融资产管理计划,Undirected,50,,,33
"博时基金-农业银行-博时中证金融资产管理计划",工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,Undirected,51,,,36
"大成基金-农业银行-大成中证金融资产管理计划",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,53,,,41
"嘉实基金-农业银行-嘉实中证金融资产管理计划",南方基金-农业银行-南方中证金融资产管理计划,Undirected,54,,,37
"南方基金-农业银行-南方中证金融资产管理计划",中欧基金-农业银行-中欧中证金融资产管理计划,Undirected,55,,,41
"华夏基金-农业银行-华夏中证金融资产管理计划",广发基金-农业银行-广发中证金融资产管理计划,Undirected,56,,,35
"易方达基金-农业银行-易方达中证金融资产管理计划",中欧基金-农业银行-中欧中证金融资产管理计划,Undirected,58,,,38
"广发基金-农业银行-广发中证金融资产管理计划",南方基金-农业银行-南方中证金融资产管理计划,Undirected,61,,,37
"华夏基金-农业银行-华夏中证金融资产管理计划",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,63,,,36
"香港中央结算有限公司",挪威中央银行-自有资金,Undirected,64,,,22
"银华基金-农业银行-银华中证金融资产管理计划",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,65,,,35
"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,67,,,37
"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",大成基金-农业银行-大成中证金融资产管理计划,Undirected,68,,,37
"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",广发基金-农业银行-广发中证金融资产管理计划,Undirected,71,,,30
"大成基金-农业银行-大成中证金融资产管理计划",银华基金-农业银行-银华中证金融资产管理计划,Undirected,72,,,35
"广发基金-农业银行-广发中证金融资产管理计划",易方达基金-农业银行-易方达中证金融资产管理计划,Undirected,73,,,37
"银华基金-农业银行-银华中证金融资产管理计划",南方基金-农业银行-南方中证金融资产管理计划,Undirected,76,,,31
"华夏基金-农业银行-华夏中证金融资产管理计划",易方达基金-农业银行-易方达中证金融资产管理计划,Undirected,77,,,32
"易方达基金-农业银行-易方达中证金融资产管理计划",南方基金-农业银行-南方中证金融资产管理计划,Undirected,81,,,35
"中央汇金资产管理有限责任公司",中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,Undirected,82,,,20
"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",易方达基金-农业银行-易方达中证金融资产管理计划,Undirected,83,,,34
"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",银华基金-农业银行-银华中证金融资产管理计划,Undirected,84,,,31
"易方达基金-农业银行-易方达中证金融资产管理计划",银华基金-农业银行-银华中证金融资产管理计划,Undirected,85,,,32
"博时基金-农业银行-博时中证金融资产管理计划",华夏基金-农业银行-华夏中证金融资产管理计划,Undirected,86,,,33
"中欧基金-农业银行-中欧中证金融资产管理计划",华夏基金-农业银行-华夏中证金融资产管理计划,Undirected,87,,,34
"中国证券金融股份有限公司",中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,Undirected,89,,,17
"华夏基金-农业银行-华夏中证金融资产管理计划",银华基金-农业银行-银华中证金融资产管理计划,Undirected,91,,,32
"华夏基金-农业银行-华夏中证金融资产管理计划",工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,Undirected,96,,,32
"广发基金-农业银行-广发中证金融资产管理计划",银华基金-农业银行-银华中证金融资产管理计划,Undirected,99,,,31
"南方基金-农业银行-南方中证金融资产管理计划",华夏基金-农业银行-华夏中证金融资产管理计划,Undirected,102,,,31
"香港中央结算有限公司",中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,Undirected,104,,,24
"全国社保基金一零三组合",中央汇金资产管理有限责任公司,Undirected,105,,,23
"中国证券金融股份有限公司",全国社保基金一零三组合,Undirected,112,,,21
"中央汇金资产管理有限责任公司",全国社保基金四零七组合,Undirected,113,,,14
"中国建设银行股份有限公司-中欧价值发现股票型证券投资基金",招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金,Undirected,114,,,24
"中国建设银行股份有限公司-中欧价值发现股票型证券投资基金",中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金,Undirected,121,,,13
"中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金",中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,Undirected,124,,,20
"交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金",中国建设银行股份有限公司-国泰价值经典灵活配置混合型证券投资基金(LOF),Undirected,126,,,13
"招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金",中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金,Undirected,128,,,14
"中央汇金资产管理有限责任公司",领航投资澳洲有限公司-领航新兴市场股指基金(交易所),Undirected,129,,,14
"中央汇金资产管理有限责任公司",全国社保基金四一八组合,Undirected,130,,,15
"中央汇金资产管理有限责任公司",中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,Undirected,133,,,17
"香港中央结算有限公司",GIC PRIVATE LIMITED,Undirected,134,,,14
"香港中央结算有限公司",澳门金融管理局-自有资金,Undirected,135,,,11
"香港中央结算有限公司",中欧基金-农业银行-中欧中证金融资产管理计划,Undirected,136,,,11
"香港中央结算有限公司",全国社保基金一零三组合,Undirected,137,,,17
"中央汇金资产管理有限责任公司",中国建设银行股份有限公司-中欧价值发现股票型证券投资基金,Undirected,138,,,13
"北京诚通金控投资有限公司",中央汇金资产管理有限责任公司,Undirected,139,,,11
"香港中央结算有限公司",大成基金-农业银行-大成中证金融资产管理计划,Undirected,140,,,11
"香港中央结算有限公司",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,143,,,10
"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",嘉实基金-农业银行-嘉实中证金融资产管理计划,Undirected,144,,,13
"香港中央结算有限公司",全国社保基金四零七组合,Undirected,145,,,10
"全国社保基金一零三组合",中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,Undirected,146,,,10
"香港中央结算有限公司",招商银行股份有限公司-东方红睿丰灵活配置混合型证券投资基金(LOF),Undirected,147,,,10
"香港中央结算有限公司",全国社保基金四一三组合,Undirected,148,,,12
"中央汇金资产管理有限责任公司",UBS AG,Undirected,149,,,16
