Source,Target,Weight
中国人民人寿保险股份有限公司-传统-普通保险产品,中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,1
中国人民人寿保险股份有限公司-传统-普通保险产品,中国平安人寿保险股份有限公司-分红-个险分红,1
中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,中国平安人寿保险股份有限公司-分红-个险分红,1
中国证券金融股份有限公司,中央汇金资产管理有限责任公司,1
中国银行股份有限公司-景顺长城优选混合型证券投资基金,中国农业银行股份有限公司-景顺长城资源垄断混合型证券投资基金(LOF),1
中国银行股份有限公司-景顺长城优选混合型证券投资基金,全国社保基金五零二组合,1
中国农业银行股份有限公司-景顺长城资源垄断混合型证券投资基金(LOF),全国社保基金五零二组合,1
中国建设银行股份有限公司-融通新能源灵活配置混合型证券投资基金,中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,中国工商银行股份有限公司-华商新锐产业灵活配置混合型证券投资基金,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF),1
中国工商银行股份有限公司-华商新锐产业灵活配置混合型证券投资基金,中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF),1
中国证券金融股份有限公司,中国建银投资有限责任公司,1
中国证券金融股份有限公司,中国人寿保险(集团)公司-传统-普通保险产品,1
中国证券金融股份有限公司,全国社保基金一一七组合,1
中国证券金融股份有限公司,中央汇金资产管理有限责任公司,1
中国建银投资有限责任公司,中国人寿保险(集团)公司-传统-普通保险产品,1
中国建银投资有限责任公司,全国社保基金一一七组合,1
中国建银投资有限责任公司,中央汇金资产管理有限责任公司,1
中国人寿保险(集团)公司-传统-普通保险产品,全国社保基金一一七组合,1
中国人寿保险(集团)公司-传统-普通保险产品,中央汇金资产管理有限责任公司,1
全国社保基金一一七组合,中央汇金资产管理有限责任公司,1
全国社保基金一零二组合,中国证券金融股份有限公司,1
全国社保基金一零二组合,香港中央结算有限公司,1
中国证券金融股份有限公司,香港中央结算有限公司,1
中国航空工业集团有限公司,中国航空技术深圳有限公司,1
中国航空工业集团有限公司,中国航空技术国际控股有限公司,1
