Source,Target,Weight
荆州招商慧泽医药投资合伙企业(有限合伙),中国人民人寿保险股份有限公司-传统-普通保险产品,1
荆州招商慧泽医药投资合伙企业(有限合伙),中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,1
荆州招商慧泽医药投资合伙企业(有限合伙),中国平安人寿保险股份有限公司-分红-个险分红,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,中国人民人寿保险股份有限公司-传统-普通保险产品,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,中国平安人寿保险股份有限公司-分红-个险分红,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,中国人民人寿保险股份有限公司-传统-普通保险产品,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,中国平安人寿保险股份有限公司-分红-个险分红,1
中国人民人寿保险股份有限公司-传统-普通保险产品,长城国融投资管理有限公司,1
中国人民人寿保险股份有限公司-传统-普通保险产品,TB NATURE LIMITED,1
中国人民人寿保险股份有限公司-传统-普通保险产品,烟台悦信投资中心(有限合伙),1
中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,长城国融投资管理有限公司,1
中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,TB NATURE LIMITED,1
中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,烟台悦信投资中心(有限合伙),1
长城国融投资管理有限公司,中国平安人寿保险股份有限公司-分红-个险分红,1
中国平安人寿保险股份有限公司-分红-个险分红,TB NATURE LIMITED,1
中国平安人寿保险股份有限公司-分红-个险分红,烟台悦信投资中心(有限合伙),1
新疆冠农集团有限责任公司,中国证券金融股份有限公司,1
新疆冠农集团有限责任公司,中央汇金资产管理有限责任公司,1
铁门关市金汇源资产管理有限公司,中国证券金融股份有限公司,1
铁门关市金汇源资产管理有限公司,中央汇金资产管理有限责任公司,1
中国证券金融股份有限公司,新疆绿原鑫融贸易有限公司,1
中国证券金融股份有限公司,北京鼎盛新元环保装饰技术开发有限公司,1
中国证券金融股份有限公司,深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,1
新疆绿原鑫融贸易有限公司,中央汇金资产管理有限责任公司,1
北京鼎盛新元环保装饰技术开发有限公司,中央汇金资产管理有限责任公司,1
中央汇金资产管理有限责任公司,深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,1
宁波高发控股有限公司,中国银行股份有限公司-景顺长城优选混合型证券投资基金,1
宁波高发控股有限公司,中国农业银行股份有限公司-景顺长城资源垄断混合型证券投资基金(LOF),1
宁波高发控股有限公司,全国社保基金五零二组合,1
