Source,Target,Weight
荆州招商慧泽医药投资合伙企业(有限合伙),汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,1
荆州招商慧泽医药投资合伙企业(有限合伙),汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,1
荆州招商慧泽医药投资合伙企业(有限合伙),长城国融投资管理有限公司,1
荆州招商慧泽医药投资合伙企业(有限合伙),TB NATURE LIMITED,1
荆州招商慧泽医药投资合伙企业(有限合伙),烟台悦信投资中心(有限合伙),1
汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,长城国融投资管理有限公司,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,TB NATURE LIMITED,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,烟台悦信投资中心(有限合伙),1
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,长城国融投资管理有限公司,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,TB NATURE LIMITED,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,烟台悦信投资中心(有限合伙),1
长城国融投资管理有限公司,TB NATURE LIMITED,1
长城国融投资管理有限公司,烟台悦信投资中心(有限合伙),1
TB NATURE LIMITED,烟台悦信投资中心(有限合伙),1
新疆冠农集团有限责任公司,铁门关市金汇源资产管理有限公司,1
新疆冠农集团有限责任公司,新疆绿原鑫融贸易有限公司,1
新疆冠农集团有限责任公司,北京鼎盛新元环保装饰技术开发有限公司,1
新疆冠农集团有限责任公司,深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,1
铁门关市金汇源资产管理有限公司,新疆绿原鑫融贸易有限公司,1
铁门关市金汇源资产管理有限公司,北京鼎盛新元环保装饰技术开发有限公司,1
铁门关市金汇源资产管理有限公司,深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,1
新疆绿原鑫融贸易有限公司,北京鼎盛新元环保装饰技术开发有限公司,1
新疆绿原鑫融贸易有限公司,深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,1
北京鼎盛新元环保装饰技术开发有限公司,深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,1
宁波高发控股有限公司,长城国融投资管理有限公司,1
宁波高发控股有限公司,深圳远致富海七号投资企业(有限合伙),1
宁波高发控股有限公司,建信基金-杭州银行-浙江浙商转型升级母基金合伙企业(有限合伙),1
长城国融投资管理有限公司,深圳远致富海七号投资企业(有限合伙),1
